datetime,AQI,dew_point_2m,南京_AQI,南通_AQI,PM10_lag_48h,wind_speed_10m_lag_3h,AQI_rolling_std_6h,AQI_rolling_std_12h,PM2.5_rolling_std_6h,PM2.5_rolling_std_24h,AQI_change_1h,AQI_pct_change_3h,AQI_change_6h,AQI_pct_change_6h,AQI_change_24h,AQI_pct_change_24h,PM2.5_change_3h,PM2.5_change_6h,temperature_2m_change_24h,wind_u,wind_v
2025-07-23 05:00:00,23.0,24.1,17.0,8.0,34.0,11.6,4.0824829046377,3.3706247360263974,1.1547005383786029,2.5339796036264683,-1.0,-25.806451612903224,-7.0,-23.33333333333333,6.0,35.29411764705883,-2.0,-3.0,-1.3999999999999986,9.526279441628828,-5.499999999999998
2025-07-23 06:00:00,30.0,24.2,18.0,9.0,24.0,12.1,4.0824829046377,3.3706247360263974,0.9999999999992204,2.5021043774801752,7.0,-3.2258064516129004,0.0,0.0,9.0,42.85714285714286,,-2.0,-1.3000000000000007,11.10943005964918,-6.9419423614549824
2025-07-23 07:00:00,26.0,24.0,16.0,12.0,25.0,11.3,3.5637059362402885,3.2335051500743415,1.095445115009811,2.4623480450076,-4.0,8.333333333333325,,-13.33333333333333,3.0,13.043478260869556,2.0,,-0.8999999999999986,13.833198113934085,-11.201902960687104
2025-07-23 08:00:00,25.0,23.6,19.0,13.0,24.0,11.0,2.701851217220168,3.2335051500743415,1.095445115009811,2.4121403467973024,-1.0,8.695652173913038,-6.0,-19.354838709677423,6.0,31.578947368421066,2.0,0.0,-0.6999999999999993,13.23750199930699,-12.34417031713122
2025-07-23 09:00:00,27.0,23.5,16.0,14.0,24.0,13.1,2.4832774042909453,3.1902629637350417,1.0954451150099218,2.414866237990052,2.0,-9.999999999999998,,-12.903225806451612,5.0,22.72727272727273,2.0,,-0.5999999999999979,12.516512525892528,-12.087055645986553
2025-07-23 10:00:00,27.0,23.0,18.0,12.0,24.0,17.8,2.338090388899033,2.8303906287141563,1.2247448713912368,2.4165002967569147,0.0,3.8461538461538542,3.0,12.5,4.0,17.391304347826097,1.0,3.0,-0.2000000000000028,11.667261889578034,-11.667261889578032
2025-07-23 11:00:00,27.0,22.6,19.0,17.0,25.0,18.1,1.673320053066789,2.666666666667016,1.0954451150099551,2.408318915761709,0.0,8.000000000000007,4.0,17.391304347826097,2.0,8.000000000000007,1.0,3.0,5.399999999999999,11.9244113675198,-10.365732658050014
2025-07-23 12:00:00,32.0,22.5,21.0,20.0,27.0,17.4,2.42212028327706,2.973961069759702,0.5477225575044452,2.3902213066476548,5.0,18.518518518518512,2.0,6.666666666666665,4.0,14.28571428571428,1.0,3.0,8.200000000000003,12.698304609751954,-9.56885886811757
2025-07-23 13:00:00,37.0,22.1,22.0,17.0,25.0,16.5,4.490731195102012,4.085450904234512,0.5477225575044452,2.100125309548201,5.0,37.037037037037045,11.0,42.307692307692314,9.0,32.14285714285714,-1.0,0.0,7.5,12.434335383311536,-10.069126256797396
2025-07-23 14:00:00,39.0,21.9,24.0,17.0,27.0,15.8,5.431390245599733,5.211874553712679,1.1690451944496638,1.8027756377362596,2.0,44.44444444444444,14.0,56.00000000000001,10.0,34.48275862068966,-3.0,-2.0,5.899999999999999,12.603649989720294,-10.95618578414147
2025-07-23 15:00:00,41.0,21.9,27.0,17.0,27.0,15.9,6.080021929784697,6.087742279417482,1.2649110640670251,1.6630662866222554,2.0,28.125,14.0,51.85185185185186,8.0,24.24242424242424,-2.0,-1.0,5.199999999999999,13.811185318076731,-12.005880230526282
2025-07-23 16:00:00,43.0,22.0,27.0,15.0,25.0,16.0,5.991660871577799,6.855102059227499,1.2110601416386455,1.6475089421002562,2.0,16.216216216216207,16.0,59.25925925925925,,30.303030303030297,-1.0,-2.0,4.299999999999997,15.892846649941124,-11.976118960725762
2025-07-23 17:00:00,43.0,22.3,29.0,14.0,29.0,16.7,4.215052391923897,7.051219537760654,1.1690451944496325,1.6704718466621558,0.0,10.256410256410264,16.0,59.25925925925925,14.0,48.27586206896552,0.0,-3.0,4.0,15.80963445477754,-11.070025221575191
2025-07-23 18:00:00,43.0,22.5,28.0,15.0,31.0,18.3,2.5298221281340907,7.517655985422049,1.1690451944496325,1.6704718466621558,0.0,4.878048780487809,11.0,34.375,13.0,43.333333333333336,2.0,0.0,3.6999999999999993,15.686161602848657,-9.425196770853994
2025-07-23 19:00:00,37.0,22.9,24.0,15.0,33.0,19.9,2.5298221281340907,7.089792064309913,1.1690451944496325,1.6303400436788158,-6.0,-13.953488372093029,0.0,0.0,,23.33333333333334,1.0,0.0,3.200000000000003,15.981351430746578,-8.497435286424626
2025-07-23 20:00:00,30.0,23.1,23.0,13.0,29.0,19.3,5.205766033927835,6.571287406727728,1.032795558988221,1.5879688352291643,-7.0,-30.23255813953488,-9.0,-23.076923076923073,5.0,19.999999999999996,1.0,1.0,2.5,15.648582508691485,-6.642429184317654
2025-07-23 21:00:00,28.0,23.5,22.0,11.0,25.0,18.3,6.8896056974737805,6.459078647121214,1.414213562372777,1.5549112250424748,-2.0,-34.883720930232556,-13.0,-31.707317073170728,2.0,7.692307692307687,-4.0,-2.0,1.8999999999999984,15.592614173296438,-7.944833745442068
2025-07-23 22:00:00,24.0,23.1,20.0,13.0,26.0,18.1,8.035338615557084,6.86669608702143,1.6329931618551694,1.328997278495364,-4.0,-35.13513513513513,-19.0,-44.18604651162791,-8.0,-25.0,-3.0,-2.0,1.1000000000000014,15.010109078601756,-7.981016567360146
2025-07-23 23:00:00,24.0,23.5,16.0,12.0,19.0,17.0,7.589466384403837,7.242028009954808,1.6020819787594378,1.2792042981392753,0.0,-19.999999999999996,-19.0,-44.18604651162791,-6.0,-19.999999999999996,0.0,1.0,0.5999999999999979,12.805526251962034,-8.001780889921392
2025-07-24 01:00:00,26.0,24.1,14.0,15.0,20.0,17.0,2.607680962079949,8.003408364849685,1.095445115009787,1.2698638165443146,,8.333333333333325,-11.0,-29.729729729729726,,-13.33333333333333,2.0,-1.0,0.0,9.583626120567512,-7.22178027782458
2025-07-24 02:00:00,22.0,24.4,14.0,12.0,23.0,15.1,2.2803508501969607,8.635023819517645,1.095445115009787,1.2587357087291935,-4.0,-8.333333333333337,-8.0,-26.66666666666667,-9.0,-29.032258064516125,0.0,0.0,0.0,8.657389737091334,-5.201884556591548
