datetime,AQI_target,AQI_lag_6h,AQI_yesterday_same_hour,AQI_rolling_mean_24h,AQI_trend_24h,PM2.5_current,PM10_current,wind_speed,is_low_wind,pressure,pressure_change_24h,temperature,temp_daily_range,humidity,is_high_humidity,dew_point,hour_sin,hour_cos,is_rush_hour,is_weekend,is_heating_season,month_sin,month_cos
2025-07-10 21:00:00,43.0,60.0,19.0,41.875,41.0,43.0,55.0,18.6,0,1002.7,1.7000000000000455,35.0,8.5,47.0,0,21.9,-0.7071067811865477,0.7071067811865474,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-10 22:00:00,51.0,60.0,21.0,43.5,39.0,43.0,55.0,17.7,0,1002.3,1.6999999999999318,34.0,8.5,49.0,0,21.6,-0.5000000000000004,0.8660254037844384,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-10 23:00:00,64.0,49.0,20.0,44.708333333333336,29.0,34.0,48.0,21.1,0,1002.1,1.6000000000000227,33.8,8.5,48.0,0,21.3,-0.25881904510252157,0.9659258262890681,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 00:00:00,61.0,54.0,20.0,46.125,34.0,38.0,49.0,21.2,0,1002.4,1.6000000000000227,32.7,8.5,51.0,0,21.2,0.0,1.0,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 01:00:00,58.0,51.0,22.0,47.333333333333336,29.0,36.0,48.0,19.3,0,1003.1,1.3999999999999773,31.2,8.5,58.0,0,22.0,0.25881904510252074,0.9659258262890683,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 02:00:00,56.0,43.0,27.0,48.0,16.0,30.0,43.0,18.0,0,1003.7,1.2000000000000455,30.2,8.5,63.0,0,22.3,0.49999999999999994,0.8660254037844387,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 03:00:00,55.0,43.0,32.0,48.458333333333336,11.0,29.0,43.0,16.1,0,1005.2,1.7000000000000455,28.9,8.5,72.0,0,23.4,0.7071067811865475,0.7071067811865476,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 04:00:00,54.0,51.0,37.0,49.041666666666664,14.0,36.0,52.0,15.3,0,1005.5,1.1000000000000227,28.1,8.5,77.0,0,23.8,0.8660254037844386,0.5000000000000001,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 05:00:00,54.0,64.0,43.0,49.916666666666664,21.0,46.0,61.0,13.6,0,1005.7,1.0,27.5,8.5,81.0,1,23.9,0.9659258262890683,0.25881904510252074,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 06:00:00,50.0,61.0,41.0,50.75,20.0,44.0,60.0,11.9,0,1005.6,1.0,27.1,8.099999999999998,83.0,1,24.0,1.0,6.123233995736766e-17,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 07:00:00,48.0,58.0,37.0,51.625,21.0,41.0,56.0,10.2,0,1005.1,0.8999999999999773,26.9,8.099999999999998,85.0,1,24.1,0.9659258262890683,-0.25881904510252063,1,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 08:00:00,42.0,56.0,39.0,52.333333333333336,17.0,40.0,55.0,10.2,0,1004.6,0.8000000000000682,26.5,8.099999999999998,87.0,1,24.2,0.8660254037844387,-0.49999999999999983,1,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 09:00:00,40.0,55.0,39.0,53.0,16.0,39.0,53.0,10.3,0,1004.3,0.6999999999999318,26.2,8.099999999999998,89.0,1,24.3,0.7071067811865476,-0.7071067811865475,1,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 10:00:00,40.0,54.0,40.0,53.583333333333336,14.0,38.0,53.0,10.0,0,1004.5,0.8999999999999773,26.0,8.099999999999998,90.0,1,24.3,0.49999999999999994,-0.8660254037844387,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 11:00:00,36.0,54.0,40.0,54.166666666666664,14.0,38.0,54.0,10.6,0,1004.9,1.1999999999999318,26.0,8.099999999999998,90.0,1,24.1,0.258819045102521,-0.9659258262890682,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 12:00:00,44.0,50.0,40.0,54.583333333333336,10.0,35.0,50.0,12.5,0,1005.3,1.1999999999999318,26.5,8.099999999999998,86.0,1,24.0,1.2246467991473532e-16,-1.0,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 13:00:00,44.0,48.0,44.0,54.75,4.0,33.0,48.0,16.6,0,1005.4,1.1999999999999318,27.5,8.099999999999998,80.0,0,23.8,-0.2588190451025208,-0.9659258262890683,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 14:00:00,39.0,42.0,51.0,54.375,-9.0,28.0,42.0,18.3,0,1005.5,1.0,29.0,8.099999999999998,72.0,0,23.5,-0.4999999999999998,-0.8660254037844388,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 15:00:00,36.0,40.0,53.0,53.833333333333336,-13.0,25.0,40.0,17.6,0,1005.7,0.7000000000000455,29.5,8.099999999999998,71.0,0,23.6,-0.7071067811865471,-0.7071067811865479,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 16:00:00,30.0,40.0,59.0,53.041666666666664,-19.0,25.0,40.0,18.5,0,1005.9,1.0,31.1,8.099999999999998,63.0,0,23.1,-0.8660254037844384,-0.5000000000000004,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 17:00:00,16.0,36.0,60.0,52.041666666666664,-24.0,25.0,34.0,16.9,0,1005.6,0.6000000000000227,32.8,8.099999999999998,56.0,0,23.0,-0.9659258262890683,-0.25881904510252063,1,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 18:00:00,18.0,44.0,61.0,51.333333333333336,-17.0,31.0,39.0,19.6,0,1004.9,0.10000000000002274,33.9,8.099999999999998,51.0,0,22.3,-1.0,-1.8369701987210297e-16,1,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 19:00:00,20.0,44.0,61.0,50.625,-17.0,31.0,40.0,17.6,0,1004.9,0.8999999999999773,31.5,8.099999999999998,60.0,0,22.7,-0.9659258262890684,0.2588190451025203,1,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 20:00:00,27.0,39.0,58.0,49.833333333333336,-19.0,25.0,39.0,12.3,0,1004.7,1.3000000000000682,30.1,8.099999999999998,71.0,0,24.4,-0.8660254037844386,0.5000000000000001,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 21:00:00,28.0,36.0,60.0,48.833333333333336,-24.0,23.0,36.0,21.0,0,1004.5,1.7999999999999545,30.5,8.099999999999998,67.0,0,23.7,-0.7071067811865477,0.7071067811865474,0,0,0,-0.4999999999999998,-0.8660254037844388
